Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C23, C27, C41, C5",0805,6,10u,C15850
"C10, C28, C29, C31, C32, C45, C6, C7, C9",0402,9,4.7u,C23733
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C20, C21, C26, C30, C33, C34, C35, C36, C37, C38, C39, C40, C42, C43, C44, C47, C48, C49, C8",0402,28,100n,C1525
"C22, R1, R11, R13, R14, R16, R9",0402,7,DNF,
"C24, C25, C3, C4",0402,4,15p,C1548
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",0805,24,LED,C84256
D25,0603,1,EMERALD,C7429914
D26,0603,1,YELLOW,C72038
"D27, D28",Nexperia_CFP3_SOD-123W,2,PMEG6010ELR,C179432
D29,0603,1,RED,C2286
"J1, J5",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_16P,C165948
J2,PinHeader_2x14_P2.54mm_Vertical,1,Conn_02x14_Odd_Even,
J3,PinHeader_2x09_P2.54mm_Vertical,1,Conn_02x09_Odd_Even,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J6,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"L1, L2",L_pol_2016,2,3.3u,C42411119
"R10, R15",0402,2,0,C17168
"R12, R23, R24, R5",0402,4,5.1k,C25905
"R17, R18, R2, R20, R4, R6",0402,6,1k,C11702
"R19, R3",0402,2,33,C25105
"R21, R22, R7, R8",0402,4,27,C25100
"R26, R43",0402,2,4.7k,C25900
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R47, R48, R49, R50, R51, R52, R53, R54",0402,24,470,C25117
R44,0603,1,560,C23204
R45,0603,1,180,C22828
R46,0603,1,820,C23253
"SW1, SW2, SW3, SW4",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,4,SW_Push,C5504987
SW10,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W8.61mm_P2.54mm,1,SW_DIP_x08,C54953
"SW5, SW6, SW7, SW8",SW_Push_K2-1102SP-A4SC-04,4,SW_Push,C83916
SW9,SW_SPDT_G-Switch_MK-12C03-G015,1,SW_SPDT,C2890358
U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,C42415655
"U10, U11, U12",SOIC-16_3.9x9.9mm_P1.27mm,3,74HC595,C5947
U13,QFN50P300X300X100-16N,1,MMA8451QR1,C11360
"U14, U15, U16, U17",GS3011CR-G,4,GS3011CR-G,C22462656
"U2, U6",SOT-223-3_TabPin2,2,NCP1117-3.3_SOT223,C26537
"U3, U5",SOIC127P790X216-8N,2,W25Q128JVS,C97521
U4,SOIC127P790X216-8N,1,DNF,
U7,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U8,SSOP-24_3.9x8.7mm_P0.635mm,1,HT16K33A-24SSOP,C5444736
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,ABM8-272-T3,C20625731
