Designator,Mid X,Mid Y,Rotation,Layer
C1,-1.6125,46.2,0.0,top
C10,-10.75,16.65,270.0,top
C11,-4.15,25.45,0.0,top
C12,-13.15,33.75,90.0,top
C13,-13.45,16.65,270.0,top
C14,-17.95,33.05,180.0,top
C15,-20.15,27.85,180.0,top
C16,-4.145,24.45,0.0,top
C17,-20.15,22.75,180.0,top
C18,-4.65,20.25,0.0,top
C19,-27.05,47.85,0.0,top
C2,-15.965,42.12,180.0,top
C20,-4.65,29.25,0.0,top
C21,-16.85,18.25,180.0,top
C23,52.7,44.0,0.0,top
C24,42.43,15.75,180.0,top
C25,45.45,15.75,0.0,top
C26,42.65,17.84,270.0,top
C27,56.6,31.3,0.0,top
C28,46.55,29.45,0.0,top
C29,46.55,30.4,0.0,top
C3,-13.525,14.53,180.0,top
C30,37.95,25.25,180.0,top
C31,48.8,29.9,270.0,top
C32,51.65,25.75,0.0,top
C33,45.25,17.84,270.0,top
C34,51.65,24.55,0.0,top
C35,49.15,19.75,0.0,top
C36,37.95,22.65,180.0,top
C37,51.15,27.85,0.0,top
C38,39.15,27.95,180.0,top
C39,42.25,32.15,90.0,top
C4,-10.555,14.53,0.0,top
C40,39.65,42.05,180.0,top
C41,31.25,49.35,270.0,top
C42,-25.5,-13.0,0.0,top
C43,22.75,-2.77,270.0,top
C44,22.75,-14.98,270.0,top
C45,-24.5,-16.0,0.0,top
C47,-27.0,-12.5,90.0,top
C48,22.75,-27.25,270.0,top
C49,-20.55,-11.52,270.0,top
C5,-1.6,34.35,0.0,top
C6,-9.15,31.0,0.0,top
C7,-9.15,31.95,0.0,top
C8,-20.15,25.15,180.0,top
C9,-6.95,31.45,270.0,top
D1,55.75,-9.0,180.0,top
D10,39.8125,-5.0,180.0,top
D11,39.8125,-9.0,180.0,top
D12,39.8125,-13.0,180.0,top
D13,39.8125,-17.0,180.0,top
D14,39.8125,-21.0,180.0,top
D15,39.8125,-25.0,180.0,top
D16,39.8125,-29.0,180.0,top
D17,44.25,-29.0625,90.0,top
D18,48.25,-29.0625,90.0,top
D19,52.25,-29.0625,90.0,top
D2,55.75,-5.0,180.0,top
D20,55.75,-29.0,180.0,top
D21,55.75,-25.0,180.0,top
D22,55.75,-21.0,180.0,top
D23,55.75,-17.0,180.0,top
D24,55.75,-13.0,180.0,top
D25,16.2875,-9.525,180.0,top
D26,16.2875,-5.025,180.0,top
D27,-8.2,42.86,90.0,top
D28,47.5,42.85,90.0,top
D29,16.2875,-0.025,180.0,top
D3,55.75,-1.0,180.0,top
D4,55.8125,3.0,180.0,top
D5,52.25,3.0,270.0,top
D6,48.25,3.0,270.0,top
D7,44.25,3.0,270.0,top
D8,39.75,3.0,180.0,top
D9,39.75,-1.0,180.0,top
J1,-12.15,50.51,180.0,top
J2,-34.97,34.49,0.0,top
J3,10.77,38.84,0.0,top
J4,54.39,11.35,90.0,top
J5,43.55,50.5,180.0,top
J6,29.15,23.38,0.0,top
L1,-9.15,33.6,0.0,top
L2,46.55,32.05,0.0,top
R10,-23.55,42.15,0.0,top
R12,-13.75,44.02,90.0,top
R15,31.04,42.55,0.0,top
R17,44.15,17.84,270.0,top
R18,55.2375,19.6,180.0,top
R19,48.8,31.785,270.0,top
R2,-11.95,16.645,270.0,top
R20,31.04,43.85,0.0,top
R21,43.25,32.15,270.0,top
R22,44.25,32.15,270.0,top
R23,45.55,44.2,90.0,top
R24,41.65,44.19,90.0,top
R26,-29.91,6.6,0.0,top
R27,52.75,-9.0,180.0,top
R28,52.75,-5.0,180.0,top
R29,52.7,-2.075,180.0,top
R3,-6.95,33.3,270.0,top
R30,53.725,0.775,180.0,top
R31,50.25,1.0,180.0,top
R32,46.25,1.0,180.0,top
R33,42.05,1.375,180.0,top
R34,36.75,3.0,180.0,top
R35,36.75,-1.0,180.0,top
R36,36.8125,-5.0,180.0,top
R37,36.8125,-9.0,180.0,top
